complaint_id,customer_id,complaint_text,channel,created_at
C0001,U1328,i was charged twice for order O356787 and I need this fixed. Need help asap.,chat,2024-11-28 19:50:26
C0002,U1215,"Can someone check where my parcel is? Order O948749 has not arived yet. Please confirm the status. pls respond. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. The tracking page keeps showing in transit.",chat,2024-11-17 22:31:10
C0003,U1186,I cannot log in to my acount even after resetting the password. I am attaching the relevant details from my order history becuase I do not want to repeat the same information again in another conversation.,email,2024-05-05 05:56:57
C0004,U1237,"I canceled order O821590 but the refund has not come through yet. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. I have been a regular customer, so I expected better handling than this.",web,2024-07-21 23:24:19
C0005,U1235,"Can someone check where my parcel is? Order O881177 has not arrived yet. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",email,2024-03-22 15:22:13
C0006,U1306,I was charged twice for order O590785 and I need this fixed. Kindly resolve this.,web,2024-05-14 18:13:32
C0007,U1092,My acount appears to be locked and I am unable to access my orders. I would appreciate your assistance. pls respond.,web,2024-06-06 08:43:05
C0008,U1030,"Tracking for order O189814 has been stuck for 11 days with no update. Please let me know what can be done. I have been a regular customer, so I expected better handling than this.",email,2024-06-08 14:31:36
C0009,U1344,"I contacted support twice and got no real help, just scripted responses. Not okay.",web,2025-03-16 12:01:49
C0010,U1037,Please help me recover account access because I need to check order O608993. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation.,web,2024-01-28 23:47:29
C0011,U1331,There is an unexpected fee on my order O455784. Please explain this charge. pls respond.,web,2024-10-03 00:32:14
C0012,U1048,Tracking for order O604740 has been stuck for 3 days with no update. I'm tired of chasing this. pls respond. The tracking page keeps showing in transit.,chat,2024-04-07 10:48:10
C0013,U1112,Why was I billed $180.07 when the listed total for order O163918 was lower? Need help asap.,web,2024-03-02 20:44:28
C0014,U1127,Two-factor login is not working and I am stuck outside my account. At this point I just want a fair resolution without having to keep following up every few days. I cannot view my saved addresses or payment methods either.,web,2024-02-07 00:20:20
C0015,U1235,"The password reset email never arrives, so I still cannot sign in. Thank you for looking into this. I cannot view my saved addresses or payment methods either.",email,2024-11-30 19:15:29
C0016,U1005,"I contacted support twice and got no real help, just scripted responses. This was related to order O795613.",chat,2024-09-15 17:47:12
C0017,U1129,Your invoice for order O969634 does not match what I saw at checkout. At this point I just want a fair resolution without having to keep following up every few days.,chat,2024-10-25 20:07:00
C0018,U1076,I need a full refund on order O482364 because the item was not as described. This is ridiculous. Kindly resolve this.,chat,2025-02-19 06:26:46
